"World Bank Country and Lending Groups
(for info see: http://data.worldbank.org/about/country-and-lending-groups)",,,,,Other
KNA,St. Kitts and Nevis,..,High income: nonOECD,IBRD,..
KOR,"Korea, Rep.",..,High income: OECD,IBRD,G20
KSV,Kosovo,Europe & Central Asia,Lower middle income,IDA,..
KWT,Kuwait,..,High income: nonOECD,..,..
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,..
LBN,Lebanon,Middle East & North Africa,Upper middle income,IBRD,..
LBR,Liberia,Sub-Saharan Africa,Low income,IDA,..
LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,..
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Blend,..
LIE,Liechtenstein,..,High income: nonOECD,..,..
LKA,Sri Lanka,South Asia,Lower middle income,Blend,..
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,IDA,..
LTU,Lithuania,..,High income: nonOECD,..,..
LUX,Luxembourg,..,High income: OECD,..,..
LVA,Latvia,..,High income: nonOECD,..,..
MAC,"Macao SAR, China",..,High income: nonOECD,..,..
MAF,St. Martin (French part),..,High income: nonOECD,..,..
MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,..
MCO,Monaco,..,High income: nonOECD,..,..
MDA,Moldova,Europe & Central Asia,Lower middle income,Blend,..
MDG,Madagascar,Sub-Saharan Africa,Low income,IDA,..
MDV,Maldives,South Asia,Upper middle income,IDA,..
MEX,Mexico,Latin America & Caribbean,Upper middle income,IBRD,G20
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,..
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,IBRD,..
MLI,Mali,Sub-Saharan Africa,Low income,IDA,..
MLT,Malta,..,High income: nonOECD,..,..
MMR,Myanmar,East Asia & Pacific,Low income,IDA,..
MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD,..
MNG,Mongolia,East Asia & Pacific,Lower middle income,Blend,..
MNP,Northern Mariana Islands,..,High income: nonOECD,..,..
MOZ,Mozambique,Sub-Saharan Africa,Low income,IDA,..
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,IDA,..
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,IBRD,..
MWI,Malawi,Sub-Saharan Africa,Low income,IDA,..
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,..
NAM,Namibia,Sub-Saharan Africa,Upper middle income,IBRD,..
NCL,New Caledonia,..,High income: nonOECD,..,..
NER,Niger,Sub-Saharan Africa,Low income,IDA,..
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Blend,..
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,IDA,..
NLD,Netherlands,..,High income: OECD,..,..
NOR,Norway,..,High income: OECD,..,..
NPL,Nepal,South Asia,Low income,IDA,..
NZL,New Zealand,..,High income: OECD,..,..
OMN,Oman,..,High income: nonOECD,..,..
PAK,Pakistan,South Asia,Lower middle income,Blend,..
PAN,Panama,Latin America & Caribbean,Upper middle income,IBRD,..
PER,Peru,Latin America & Caribbean,Upper middle income,IBRD,..
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,..
PLW,Palau,East Asia & Pacific,Upper middle income,IBRD,..
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Blend,..
POL,Poland,..,High income: OECD,IBRD,..
PRI,Puerto Rico,..,High income: nonOECD,..,..
PRK,"Korea, Dem. Rep.",East Asia & Pacific,Low income,..,..
PRT,Portugal,..,High income: OECD,..,..
PRY,Paraguay,Latin America & Caribbean,Lower middle income,IBRD,..
PYF,French Polynesia,..,High income: nonOECD,..,..
QAT,Qatar,..,High income: nonOECD,..,..
ROU,Romania,Europe & Central Asia,Upper middle income,IBRD,..
RUS,Russian Federation,..,Upper middle income,IBRD,G8/G20
RWA,Rwanda,Sub-Saharan Africa,Low income,IDA,..
SAU,Saudi Arabia,..,High income: nonOECD,..,G20
SDN,Sudan,Sub-Saharan Africa,Lower middle income,IDA,..
SEN,Senegal,Sub-Saharan Africa,Low income,IDA,..
SGP,Singapore,..,High income: nonOECD,..,..
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,IDA,..
SLE,Sierra Leone,Sub-Saharan Africa,Low income,IDA,..
SLV,El Salvador,Latin America & Caribbean,Lower middle income,IBRD,..
SMR,San Marino,..,High income: nonOECD,..,..
SOM,Somalia,Sub-Saharan Africa,Low income,IDA,..
SRB,Serbia,Europe & Central Asia,Upper middle income,IBRD,..
SSD,South Sudan,Sub-Saharan Africa,Lower middle income,IDA,..
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income,IDA,..
SUR,Suriname,Latin America & Caribbean,Upper middle income,IBRD,..
SVK,Slovak Republic,..,High income: OECD,..,..
SVN,Slovenia,..,High income: OECD,..,..
SWE,Sweden,..,High income: OECD,..,..
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income,IBRD,..
SXM,Sint Maarten (Dutch part),..,High income: nonOECD,..,..
SYC,Seychelles,Sub-Saharan Africa,Upper middle income,IBRD,..
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,IBRD,..
TCA,Turks and Caicos Islands,..,High income: nonOECD,..,..
TCD,Chad,Sub-Saharan Africa,Low income,IDA,..
TGO,Togo,Sub-Saharan Africa,Low income,IDA,..
THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,..
TJK,Tajikistan,Europe & Central Asia,Low income,IDA,..
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,IBRD,..
TMP,Timor-Leste,East Asia & Pacific,Lower middle income,Blend,..
TON,Tonga,East Asia & Pacific,Lower middle income,IDA,..
TTO,Trinidad and Tobago,..,High income: nonOECD,IBRD,..
TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,..
TUR,Turkey,Europe & Central Asia,Upper middle income,IBRD,G20
TUV,Tuvalu,East Asia & Pacific,Upper middle income,IDA,..
TZA,Tanzania,Sub-Saharan Africa,Low income,IDA,..
UGA,Uganda,Sub-Saharan Africa,Low income,IDA,..
UKR,Ukraine,Europe & Central Asia,Lower middle income,IBRD,..
URY,Uruguay,..,High income: nonOECD,IBRD,..
USA,United States,..,High income: OECD,..,G8/G20
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Blend,..
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Blend,..
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,IBRD,..
VIR,Virgin Islands (U.S.),..,High income: nonOECD,..,..
VNM,Vietnam,East Asia & Pacific,Lower middle income,Blend,..
VUT,Vanuatu,East Asia & Pacific,Lower middle income,IDA,..
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,..,..
WSM,Samoa,East Asia & Pacific,Lower middle income,IDA,..
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income,IDA,..
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,IBRD,G20
ZAR,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,IDA,..
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,IDA,..
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,Blend,..
